,Date,Institution Name (RSSD ID),Location,Rank,Total Assets
0,6/30/2016,JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",1,2466096000
1,6/30/2016,BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2,2189811000
2,6/30/2016,WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",3,1889235000
3,6/30/2016,CITIGROUP INC. (1951350),"NEW YORK, NY",4,1818771000
4,6/30/2016,"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",5,896870000
5,6/30/2016,MORGAN STANLEY (2162966),"NEW YORK, NY",6,828873000
6,6/30/2016,U.S. BANCORP (1119794),"MINNEAPOLIS, MN",7,438463000
7,6/30/2016,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",8,372351000
8,6/30/2016,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",9,361528406
9,6/30/2016,CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",10,339247718
10,6/30/2016,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",11,295534689
11,6/30/2016,TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",12,276317370
12,6/30/2016,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",13,276045408
13,6/30/2016,STATE STREET CORPORATION (1111435),"BOSTON, MA",14,255396733
14,6/30/2016,BB&T CORPORATION (1074156),"WINSTON SALEM, NC",15,221858615
15,6/30/2016,"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",16,199276480
16,6/30/2016,"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",17,198052000
17,6/30/2016,AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",18,159632000
18,6/30/2016,ALLY FINANCIAL INC. (1562859),"DETROIT, MI",19,157931000
19,6/30/2016,RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY",20,151710605
20,6/30/2016,"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",21,145568297
21,6/30/2016,UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",22,144819412
22,6/30/2016,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",23,143801553
23,6/30/2016,FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",24,143625325
24,6/30/2016,BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",25,132007952
25,6/30/2016,"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",26,126502203
26,6/30/2016,REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",27,126378482
27,6/30/2016,M&T BANK CORPORATION (1037003),"BUFFALO, NY",28,123820584
