Date,ALLY FINANCIAL INC. (1562859),AMERICAN EXPRESS COMPANY (1275216),"AMERICAN INTERNATIONAL GROUP, INC. (1562176)",AMERITAS MUTUAL HOLDING COMPANY (3910641),"APPLE FINANCIAL HOLDINGS, INC. (3446412)","ARVEST BANK GROUP, INC. (1095674)",ASSOCIATED BANC-CORP (1199563),ASTORIA FINANCIAL CORPORATION (2504128),"BANC OF CALIFORNIA, INC. (3153130)","BANCORPSOUTH, INC. (1097614)",BANCWEST CORPORATION (1025608),BANCWEST HOLDING INC. (4989420),BANK OF AMERICA CORPORATION (1073757),BANK OF HAWAII CORPORATION (1025309),"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)",BANK OF THE OZARKS INC (1097089),"BANKUNITED, INC. (4028712)",BARCLAYS DELAWARE HOLDINGS LLC (2938451),BB&T CORPORATION (1074156),"BBVA COMPASS BANCSHARES, INC. (1078529)","BBVA USA BANCSHARES, INC. (1078529)",BMO FINANCIAL CORP. (1245415),BOK FINANCIAL CORPORATION (1883693),BREMER FINANCIAL CORPORATION (1020180),CAPITAL ONE FINANCIAL CORPORATION (2277860),"CAPITOL FEDERAL FINANCIAL, INC. (4226910)",CATHAY GENERAL BANCORP (1843080),"CENTRAL BANCOMPANY, INC (1094314)","CHARLES SCHWAB CORPORATION, THE (1026632)",CIT GROUP INC. (1036967),CITIGROUP INC. (1951350),"CITIZENS FINANCIAL GROUP, INC. (1132449)",CITY NATIONAL CORPORATION (1027518),COMERICA INCORPORATED (1199844),"COMMERCE BANCSHARES, INC. (1049341)",COUNTRY LIFE INSURANCE COMPANY (3825204),"CULLEN/FROST BANKERS, INC. (1102367)",DEUTSCHE BANK TRUST CORPORATION (1032473),DISCOVER FINANCIAL SERVICES (3846375),E*TRADE FINANCIAL CORPORATION (3412583),"EAST WEST BANCORP, INC. (2734233)",EASTERN BANK CORPORATION (1427239),EVERBANK FINANCIAL CORP (3838857),F.N.B. CORPORATION (3005332),FIFTH THIRD BANCORP (1070345),FIRST BANCORP (2744894),"FIRST CITIZENS BANCSHARES, INC. (1075612)","FIRST HAWAIIAN, INC. (1025608)",FIRST HORIZON NATIONAL CORPORATION (1094640),"FIRST MIDWEST BANCORP, INC. (1208184)","FIRST NATIONAL OF NEBRASKA, INC. (1020902)","FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)",FIRSTBANK HOLDING COMPANY (1060627),FIRSTMERIT CORPORATION (1070804),"FLAGSTAR BANCORP, INC. (3852022)","FRANKLIN RESOURCES, INC. (1246216)",FULTON FINANCIAL CORPORATION (1117129),"GE CAPITAL GLOBAL HOLDINGS, LLC (4932239)",GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"GOLDMAN SACHS GROUP, INC., THE (2380443)","GREAT WESTERN BANCORP, INC. (4809920)",HANCOCK HOLDING COMPANY (1086533),"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HILLTOP HOLDINGS, INC (3838727)",HSBC NORTH AMERICA HOLDINGS INC. (3232316),"HUDSON CITY BANCORP, INC. (2367556)",HUNTINGTON BANCSHARES INCORPORATED (1068191),IBERIABANK CORPORATION (2291914),IMB HOLDCO LLC (3923614),INTERNATIONAL BANCSHARES CORPORATION (1104231),"INVESTORS BANCORP, INC. (2477754)","INVESTORS BANCORP, MHC (2477754)",JOHN DEERE CAPITAL CORPORATION (3843075),JPMORGAN CHASE & CO. (1039502),KEYCORP (1068025),M&T BANK CORPORATION (1037003),"MACY'S, INC. (4103310)","MB FINANCIAL, INC. (1090987)",MIDLAND FINANCIAL CO. (2568278),MODERN WOODMEN OF AMERICA (3057395),MORGAN STANLEY (2162966),MUFG AMERICAS HOLDINGS CORPORATION (1378434),MUTUAL OF OMAHA INSURANCE COMPANY (1583836),NATIONAL AMERICAS HOLDINGS LLC (3719965),NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"NEW YORK COMMUNITY BANCORP, INC. (2132932)","NORDSTROM, INC. (1760589)",NORTHERN TRUST CORPORATION (1199611),OLD NATIONAL BANCORP (1098303),PACWEST BANCORP (2875332),"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","POPULAR, INC. (1129382)","PRINCIPAL FINANCIAL GROUP, INC. (3853449)","PRIVATEBANCORP, INC. (1839319)","PROSPERITY BANCSHARES, INC. (1109599)","RAYMOND JAMES FINANCIAL, INC. (3815157)",RBC USA HOLDCO CORPORATION (3226762),"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)",REGIONS FINANCIAL CORPORATION (3242838),"SANTANDER HOLDINGS USA, INC. (3981856)","SCOTTRADE FINANCIAL SERVICES, INC. (3242735)",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),STATE STREET CORPORATION (1111435),STERLING BANCORP (3083291),STERLING FINANCIAL CORPORATION (3152245),STIFEL FINANCIAL CORP. (3063622),"SUNTRUST BANKS, INC. (1131787)","SUSQUEHANNA BANCSHARES, INC. (1117156)",SVB FINANCIAL GROUP (1031449),SYNCHRONY FINANCIAL (4504654),SYNOVUS FINANCIAL CORP. (1078846),TCF FINANCIAL CORPORATION (2389941),TD BANK US HOLDING COMPANY (1249196),TD GROUP US HOLDINGS LLC (3606542),TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"TEXAS CAPITAL BANCSHARES, INC. (2706735)","THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)",THRIVENT FINANCIAL FOR LUTHERANS (3173736),TRUSTMARK CORPORATION (1079562),U.S. BANCORP (1119794),UMB FINANCIAL CORPORATION (1049828),UMPQUA HOLDINGS CORPORATION (2747644),UNIONBANCAL CORPORATION (1378434),"UNITED BANKSHARES, INC. (1076217)",UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"UTRECHT-AMERICA HOLDINGS, INC. (2307280)",VALLEY NATIONAL BANCORP (1048773),W.R. BERKLEY CORPORATION (3065541),"WASHINGTON FEDERAL, INC. (3065617)",WEBSTER FINANCIAL CORPORATION (1145476),WELLS FARGO & COMPANY (1120754),WESTERN ALLIANCE BANCORPORATION (2349815),WINTRUST FINANCIAL CORPORATION (2260406),ZIONS BANCORPORATION (1027004)
12/31/2012,182347000,153418000,,18502196,,13233050,23487735,16496642,,13401898,79869488,,2212004452,13789923,359301000,,12375953,18981340,183872371,,69105796,116109476,28146503,,313040688,,10694089,,133637000,44012251,1864660000,,28618492,65398175,22176815,,23205702,74148000,73491315,47386739,22536282,,18242878,12023976,121500604,13099741,21283651,,25521022,,16409360,36912808,12874974,14916022,14082012,14261070,16509261,,548771829,938770000,,19523765,10149132,,313680754,40596341,56153185,13129678,25938843,11882673,,12765099,27844699,2359141000,89425613,82985468,22270036,,,12385909,780960000,,30993057,,168343642,44149466,,97463845,,,30317936,305285879,36508000,161926542,14057515,14601394,22275971,,127411731,121347388,85790202,25125736,114933159,222229483,,,,173566088,18037667,22766602,,26760012,18281032,218916640,,237037712,10540873,11379590,77444933,,353855000,14927196,11804699,96992464,,115747377,48642000,16012646,20155896,13106842,20152255,1422968000,,17519613,55511918
3/31/2013,166199000,156903000,,18833506,,14294687,23277768,16210524,,13395806,78851727,,2176625000,13563474,355984000,,12745930,19610828,180836757,,69639420,122361785,27442638,,300293699,,10520715,10577894,133324000,44563888,1881734000,,27433754,64975279,22240695,,22560339,75523000,76139250,44966314,23102005,,18306488,11997990,120789641,13005877,21351012,,25167457,,15890934,36887625,13078898,15273159,13094150,14710099,16659671,,537952605,959426000,,19092456,10298569,,301737107,40283892,56054966,12951199,25416957,11520172,,12890433,29028299,2389349000,89441210,82794833,20991349,,10441287,12695879,801383000,,31422988,,171812600,44511718,,93156775,,,30581737,300945933,36943000,200762850,13372230,15085425,22735145,,126322821,119717632,82733574,24765823,120085692,217852811,,,,172527629,17967174,22802242,,26212879,18540469,222716131,,239972203,10020871,11121723,79537291,11850515,355447000,15705470,11500124,96959643,,119886059,48613134,16028703,,13115833,20116020,1436634000,,17074247,54110564
6/30/2013,150627000,151980000,537438000,18554575,11991050,14160917,23616944,16101065,,13220451,80069917,,2125686000,13787068,360514000,,13233425,20307832,182735153,69674976,,112349784,27806179,,296670314,,10603235,10481397,135907000,44631022,1883988000,,27379501,63013097,21921322,,22596340,71992000,74944466,45006525,23314135,,18362872,12573391,122642935,12803169,21308822,,25134331,,15466494,37171775,13022264,23534261,12735017,15214337,17001720,,529030139,938611000,,18954524,10238145,,319108739,39696453,56113687,12823503,25468760,11596913,,13314260,30737599,2439494000,90858779,83229005,21039759,,,12950314,802691000,,31386118,,172019212,44185838,,97236008,,,31317391,304547667,36685000,196512705,13476493,16275854,22214191,,118137679,118782563,79218184,24571720,119778457,226985363,,,,171609928,18083039,22165054,,26563174,18432662,228945721,,243168123,10978295,11136501,78901854,11863312,353415000,15253217,11396288,102261564,,120296114,48612915,15977202,,13012483,20334463,1440563000,,17613546,54904540
9/30/2013,150556000,150152000,540744000,18787220,11888008,13986055,23688675,16022089,,12930641,81729444,,2128706000,13916694,371957000,,14308014,21025405,181050008,70087078,,113051766,27174025,,290217687,,10821446,10443416,140211000,46223981,1899511000,,29059404,64723310,22462282,10047710,23566006,66067000,75544201,45547479,24493454,,17612089,12790279,124939419,12787450,21511352,,24194150,,15977890,37380836,13169177,24140030,11807815,15280194,17023087,,528643825,923359000,,18820201,10429012,,309312154,39186560,56648251,13145077,24269655,12076658,,13751425,31546545,2463309000,91016413,84427485,20430578,,,13130667,832223000,,32117623,,32483356,45764133,,95969501,,,31497138,308912603,36052000,201687384,13869140,16060463,23186120,,120738247,116937255,77070780,24752027,124091801,216751956,,10012700,,172033106,18481150,23757075,,26218360,18417601,231673130,,247467518,10797757,11269306,70540953,11805197,360681000,16184233,11573058,105492129,,121758503,52259755,15976943,,13082859,20614348,1488055000,,17682548,55188312
12/31/2013,151167000,153387000,541329000,,11647170,14113477,24226920,15793722,,13045442,83527474,,2104995000,14127598,374310000,,15046649,19056120,183009992,71965476,,111073727,27021529,,297282098,,10989286,,143642000,47138960,1880035000,,29717951,65356580,23081892,10262625,24388272,66926000,79339664,46279856,24730609,,17640984,13563405,129685180,12656925,21199091,,23791187,,16271487,37643867,13384848,23912451,,15793167,16908633,,524005141,911595000,,19025806,10340044,,290013881,38607354,59476344,13365550,23498336,12079477,,15605073,31676590,2415689000,92991716,85162391,22445600,,,13398445,832666000,,32233999,,32675758,46688287,,102947333,,,33204410,320596232,35749000,,14085746,18651693,21924495,,122257732,117661732,77144021,25617367,129337906,243028090,,10327642,,175380779,18473488,26417306,,26201604,18402494,234621843,,250494214,11714698,11381407,,11790383,364021000,16911852,11641151,105900020,,122342355,46112745,16156541,,14404373,20856659,1527015000,,18097783,56031127
3/31/2014,148452000,151497000,547111000,,11575745,14556251,24806197,15699906,,13148062,84945155,,2152533000,14333411,368241000,,15751652,20089504,184651158,74957227,,114499474,27365683,,290886180,,11291188,10793363,144066000,48578081,1894390000,,29851542,65832917,22820527,10406821,24715220,72603000,79583709,46438440,27401438,,17630948,14476510,129654487,12819428,22154997,,23942809,,16573510,37996061,14009813,24500602,,16023672,16884185,,516913616,915705000,,19020567,10458070,,308847926,38231106,61145753,13550924,21807098,12144185,,16371463,33333935,2476650000,90928218,88530360,21633260,,,13587385,831338000,,33288652,,32872949,47567470,,103832578,,,33101545,323586973,36744000,,14304782,18921328,22868902,,127295624,118136516,109168077,25852820,132022280,256672720,,10240431,,179553408,18435035,29724778,,26435426,18815947,237493754,,252936464,12143691,11534400,,12057054,371289000,15945830,11846183,107237659,11886320,127322366,45551256,16344464,,14364599,21182781,1546707000,,18221163,56080844
6/30/2014,149937000,152384000,,,11581188,14730285,25727786,15742065,,12989487,86617152,,2172001000,14884625,400740000,,17008323,22123208,188012330,75747100,,116160559,27853768,,298653928,,11556822,10848073,143401000,44152666,1909369000,130579630,30819092,65386081,23016162,10519027,26584688,69406000,78936814,45748395,27556917,,19753820,15019247,132562382,12523251,22062840,,24223920,,16754901,38632971,13941733,24566414,,16563673,17010044,,516270747,860008000,,19355777,10617143,,289551194,37700645,63797113,15325042,22566793,12436467,17389665,,34923883,2519995000,91934784,90835002,21317986,,,13827163,826524000,,34182325,,33615965,48604772,,105761163,10387956,15685562,33889076,327251474,36588000,,14602404,21253920,23070287,,,119013705,112512985,25710230,135478405,282324972,,,,182585899,18506626,33322533,,26627290,18889866,236008197,,256932841,13532830,11715978,,12119996,389065000,15562690,22066064,108823027,12051710,129066684,36486505,16335967,,14789955,21531479,1598874000,10023587,18911548,55111275
9/30/2014,149195000,153862000,,,11688202,14969471,25653822,15460281,,13074902,86894858,,2126138000,14577913,386296000,,17680739,24158229,187021509,79187065,,119791374,29103689,,300444020,,11599466,10967840,147445000,46480980,1882505000,131520691,32015600,68949210,22710961,10573699,27411142,60715000,80596481,45818844,28481156,,20510343,15757045,134187722,12643280,21942491,,23987518,,17082710,37977082,14052107,24610114,,,17209511,,514312251,868995000,,19996647,10670471,,280272469,37161125,64330629,15516609,22011643,12079187,17781789,,35316750,2526655000,89884477,97230366,20619281,14506043,,13999399,814511000,110882044,34377381,,33915903,48679772,10144127,111153721,11179846,15939057,34764455,334602342,34099000,,15190468,21125064,23325652,,,119301813,113538172,25260266,137646089,274815393,,,,186860815,18583327,36044135,,26519110,19052948,242225156,,261389220,14266857,11803153,,12096316,391284000,16284028,22493824,,12085063,129191103,37231381,16726410,,14756041,21841501,1636855000,10288824,19184183,55458870
12/31/2014,151828000,159103000,,,11659386,14970127,26821774,15640021,,13326530,89766710,,2106796000,14859360,385303000,,19210520,25013660,186813987,83152427,,115879565,29148050,,309083481,,11516846,,154642000,47879974,1842181000,133000128,32610363,69452409,24015123,10697206,28347544,55541200,83125845,45529729,28738323,,21617788,16127090,138705640,12727835,30075113,,25674034,,17465465,38557544,14542268,24909640,,,17083180,,508255287,856301000,,20752202,11184161,,290100702,36569082,66298010,15758605,21871146,12196520,18722282,,33736295,2572773000,93882115,96687224,22424584,14602099,,14131105,801510000,113678090,34481170,,34711195,48559217,10616919,109946485,11647778,16236505,35985913,345243081,33097000,,15603382,21519443,24253246,,,119888669,118353279,23978600,138797903,274119072,,,,190446755,18661390,39351768,,27051231,19427476,248144842,,262634190,15900308,12067800,,12250633,402529000,17500960,22622204,,12328811,130416573,36331380,18793855,,14494756,22545351,1687155000,10600498,20032438,57208874
3/31/2015,153524000,154674000,,,11882771,15844167,27088806,15535572,,13635049,89669872,,2145027000,15206800,392337000,,19983395,25221666,189227838,85485851,,118263888,30371794,,306501324,10040460,11910089,11621045,160169000,46416005,1831801000,136905651,32698899,69420233,24060276,10826914,28196667,55615500,84177508,46828405,29907424,,23347219,16278848,140469916,13147919,30853649,,25716964,,17163986,38912925,15092422,25125546,11571146,,17315750,,481614979,865512000,,20728010,11273447,12562893,301956685,36129290,68002661,16420009,21341478,12374402,19298905,,34189333,2577148000,94296497,98379397,21460706,14328310,10843278,14324798,829099000,113697697,35586515,,34987245,48251715,10724941,106952000,11951362,16644622,36406341,351162105,35625000,,16361348,21608960,24965509,,,122515877,123425703,23463270,139397321,279480161,,,,190223316,18697294,38619411,,27633784,19999495,252650828,,264300422,17325504,12133651,,12179164,410233000,16730123,22961973,,12141519,132978355,36244050,18980010,,14611019,23115627,1737737000,11251943,20392598,57555931
