,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
1,Number of BHCs in Peer Group, 69,67,65,62,60EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.18,3.48,3.34,3.38,3.51
4,+ Non-interest Income,2.31,2.31,2.39,2.56,2.57
5,- Overhead Expense, 3.29,3.48,3.64,3.62,3.65
6,- Provision for Losses, 0.30,0.42,0.42,0.32,0.28
7,+ Securities Gains (Losses),0.06,0.06,0.06, -0.01,0.03
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.98,2.04,1.70,1.96,2.15
10,Net Operating Income, 1.26,1.30,1.05,1.22,1.34
11,Net Income, 1.26,1.30,1.01,1.22,1.34
12,Interest Expense, 1.58,2.11,3.43,4.50,3.80
13,Net Interest Income (TE), 3.55,3.90,3.72,3.77,3.91
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.53,0.68,0.58,0.43,0.40
16,Earnings Coverage of Net Losses (X), 10.09, 10.14,9.73, 10.86, 11.23
17,Ln&Ls Allowance/Total Loans & Leases, 1.45,1.57,1.51,1.44,1.45
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.77,0.94,0.94,0.76,0.62
19,30-89 Days Past Due Loans and Leases, 0.80,0.93,1.11,1.10,0.95
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,35.59, 32.89, 34.71, 37.61, 38.86
22,Net ST Noncore Funding Dependence, 19.99, 18.72, 20.90, 24.74, 26.19
23,Net Loans and Leases/Total Assets, 58.56, 59.34, 58.93, 63.19, 62.32
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.55,7.43,7.34,7.35,7.17
26,Equity Capital/Total Assets,8.59,8.58,8.31,8.07,7.63
27,Net Loans&Ls/Equity Capital (X),6.97,7.07,7.23,7.76,7.98
28,Cash Dividends/Net Income, 32.23, 29.58, 37.89, 41.18, 34.84
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 9.63, 10.01,7.00,9.01, 10.40
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.67,4.41,5.07,7.09,6.79
33,Long-Term Debt/Equity Capital, 15.86, 13.73, 14.08, 13.77, 15.36
34,Equity Investment in Subs/Equity Cap, 110.53,110.46,109.14,109.76,110.65
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 149.04,180.56,166.06,150.79,145.12
36,PERCENT OF AVERAGE ASSETS,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
37,Interest Income (TE), 4.62,5.36,6.43,7.40,6.90
38,Less: Interest Expense, 1.42,1.88,3.09,4.03,3.39
39,Equals: Net Interest Income (TE), 3.18,3.48,3.34,3.38,3.51
40,Plus: Non-Interest Income,2.31,2.31,2.39,2.56,2.57
41,Equals: Adj Operating Income (TE),5.49,5.81,5.74,5.93,6.08
42,Less: Overhead Expense, 3.29,3.48,3.64,3.62,3.65
43,Less: Provision for Loan and Lease Losses,0.30,0.42,0.42,0.32,0.28
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.06,0.06,0.06, -0.01,0.03
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.28,1.30,1.02,1.22,1.37
48,MARGIN ANALYSIS:, , , , , 
