,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
1,Number of BHCs in Peer Group, 69,66,69,67,65EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.08,3.16,3.18,3.48,3.34
4,+ Non-interest Income,2.04,2.13,2.30,2.31,2.39
5,- Overhead Expense, 3.06,3.24,3.29,3.48,3.64
6,- Provision for Losses, 0.15,0.18,0.30,0.42,0.42
7,+ Securities Gains (Losses),0.01,0.03,0.06,0.06,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.93,1.94,1.97,2.04,1.70
10,Net Operating Income, 1.25,1.26,1.26,1.30,1.05
11,Net Income, 1.26,1.28,1.26,1.30,1.01
12,Interest Expense, 2.20,1.48,1.58,2.11,3.43
13,Net Interest Income (TE), 3.43,3.54,3.55,3.90,3.72
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.28,0.35,0.53,0.68,0.58
16,Earnings Coverage of Net Losses (X), 22.79, 18.87, 10.06, 10.14,9.73
17,Ln&Ls Allowance/Total Loans & Leases, 1.14,1.28,1.45,1.57,1.51
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.48,0.58,0.77,0.94,0.94
19,30-89 Days Past Due Loans and Leases, 0.69,0.64,0.79,0.93,1.11
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.80, 35.53, 35.42, 32.89, 34.71
22,Net ST Noncore Funding Dependence, 23.48, 19.42, 19.84, 18.72, 20.90
23,Net Loans and Leases/Total Assets, 60.09, 59.69, 58.53, 59.34, 58.93
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.44,7.57,7.55,7.43,7.34
26,Equity Capital/Total Assets,8.88,9.05,8.59,8.58,8.31
27,Net Loans&Ls/Equity Capital (X),6.90,6.80,6.98,7.07,7.23
28,Cash Dividends/Net Income, 39.46, 33.09, 32.26, 29.58, 37.89
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 8.50,9.28,9.60, 10.01,7.00
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 2.55,3.47,4.01,4.41,5.07
33,Long-Term Debt/Equity Capital, 12.46, 12.04, 15.42, 13.73, 14.08
34,Equity Investment in Subs/Equity Cap, 108.79,109.23,110.54,110.46,109.14
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 147.86,136.25,149.30,180.56,166.06
36,PERCENT OF AVERAGE ASSETS,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
37,Interest Income (TE), 5.07,4.46,4.62,5.36,6.43
38,Less: Interest Expense, 1.98,1.32,1.42,1.88,3.09
39,Equals: Net Interest Income (TE), 3.08,3.16,3.18,3.48,3.34
40,Plus: Non-Interest Income,2.04,2.13,2.30,2.31,2.39
41,Equals: Adj Operating Income (TE),5.14,5.31,5.49,5.81,5.74
42,Less: Overhead Expense, 3.06,3.24,3.29,3.48,3.64
43,Less: Provision for Loan and Lease Losses,0.15,0.18,0.30,0.42,0.42
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.01,0.03,0.06,0.06,0.06
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.26,1.30,1.28,1.30,1.02
48,MARGIN ANALYSIS:, , , , , 
