,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2002,06/30/2001,12/31/2001,12/31/2000,12/31/1999
1,Number of BHCs in Peer Group, 65,60,65,62,59EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,- Provision for Losses, 0.42,0.38,0.43,0.32,0.27
4,+ Securities Gains (Losses),0.04,0.08,0.06, -0.01,0.03
5,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
6,= Pretax Net Oper Income (TE),2.11,1.80,1.71,1.97,2.13
7,Net Operating Income, 1.34,1.10,1.06,1.22,1.33
8,Net Income, 1.32,1.10,1.02,1.22,1.33
9,Interest Expense, 2.19,3.97,3.42,4.49,3.76
10,Net Interest Income (TE), 3.97,3.68,3.75,3.81,3.89
11,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
12,Net Ln&Ls Losses/Avg Loans & Leases,0.61,0.52,0.58,0.43,0.40
13,Earnings Coverage of Net Losses (X), 10.94,8.95,9.73, 10.83, 11.74
14,Ln&Ls Allowance/Total Loans & Leases, 1.56,1.45,1.50,1.44,1.44
15,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.96,0.85,0.93,0.76,0.61
16,30-89 Days Past Due Loans and Leases, 0.90,0.99,1.11,1.10,0.95
17,LIQUIDITY AND FUNDING:, , , , , 
18,Net Noncore Funding Dependence,33.12, 36.95, 34.38, 37.24, 37.89
19,Net ST Noncore Funding Dependence, 18.77, 23.70, 20.81, 24.66, 25.88
20,Equity Capital/Total Assets,8.68,8.33,8.33,8.09,7.58
21,Net Loans&Ls/Equity Capital (X),7.03,7.47,7.26,7.79,7.93
22,Cash Dividends/Net Income, 28.99, 38.68, 39.37, 40.82, 35.55
23,Cash Dividends/Net Income (Sub S Adjusted), NA,NA,NA,NA,NA
24,Retained Earnings/Avg Equity Cap,10.20,7.80,7.08,9.03, 10.19
25,PARENT COMPANY RATIOS:, , , , , 
26,Short-Term Debt/Equity Capital, 4.98,6.27,5.02,7.07,6.45
27,Long-Term Debt/Equity Capital, 12.47, 13.66, 12.83, 13.78, 15.63
28,Equity Investment in Subs/Equity Cap, 109.11,110.42,109.12,109.76,110.30
29,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 169.48,133.15,168.45,150.79,145.12
30,PERCENT OF AVERAGE ASSETS,06/30/2002,06/30/2001,12/31/2001,12/31/2000,12/31/1999
31,Interest Income (TE), 5.50,6.91,6.47,7.44,6.88
32,Less: Interest Expense, 1.95,3.58,3.08,4.02,3.36
33,Equals: Net Interest Income (TE), 3.55,3.31,3.38,3.42,3.49
34,Plus: Non-Interest Income,2.28,2.36,2.30,2.47,2.44
35,Equals: Adj Operating Income (TE),5.83,5.63,5.68,5.87,5.97
36,Plus: Realized G/L on AFS Sec,0.04,0.08,0.06, -0.01,0.03
37,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
38,Memo: Net Income (Last Four Qtrs),1.15,1.14,1.02,1.23,1.37
39,MARGIN ANALYSIS:, , , , , 
40,Avg Earning Assets / Avg Assets, 89.56, 90.14, 90.08, 89.89, 89.41
41,Avg Int-Bearing Funds / Avg Assets,75.65, 75.33, 75.16, 75.64, 74.94
42,Int Income (TE) / Avg Earning Assets, 6.15,7.67,7.20,8.31,7.69
43,Int Expense / Avg Earning Assets, 2.19,3.97,3.42,4.49,3.76
44,Interest-Bearing Bank Balances, 2.49,5.41,4.65,7.59,6.66
45,Mortgage-Backed Securities, 5.43,6.24,5.91,NA,NA
46,Time Deposits < $100K,3.68,5.79,5.29,5.71,4.97
47,Other Domestic Deposits,1.32,2.79,2.30,3.16,2.66
48,All Interest-Bearing Funds, 2.57,4.79,4.15,5.38,4.49
49, , 06/30/2002,06/30/2001,12/31/2001,12/31/2000,12/31/1999
50,Avg Personnel Exp Per Employee ($000),31,30,59,58,53
51,Avg Assets per Employee ($000),"3,741"," 3,583"," 3,524"," 3,430"," 3,090"
52,ANALYSIS RATIOS, , , , , 
53,Personnel Expense,1.77,1.77,1.78,1.77,1.77
54,Net Occupancy Expense,0.47,0.47,0.48,0.49,0.49
55,Personnel Expense, 30.42, 31.53, 31.09, 30.14, 29.57
56,Net Occupancy Expense,8.18,8.44,8.67,8.43,8.22
57,Serv Charges on Deposit Accts - Domestic, 8.14,8.02,7.91,7.47,6.92
58,Trading Revenue,1.27,2.59,2.16,NA,NA
59,Investment Banking Fees & Commissions,4.64,4.77,5.01,NA,NA
60,Venture Capital Revenue, -0.13, -0.37, -0.41,NA,NA
61,Net Servicing Fees, 1.27,1.54,1.14,NA,NA
62,Appl Inc Taxes/Pretax NOI (TE),32.22, 33.78, 33.22, 33.08, 33.73
63,Appl Inc Tax+TE/Pretax NOI+TE, 35.39, 37.29, 37.15, 36.38, 36.48
64,PERCENT OF TOTAL ASSETS,06/30/2002,06/30/2001,12/31/2001,12/31/2000,12/31/1999
65,Real Estate Loans, 33.45, 32.67, 32.45, 32.15, 30.38
66,Commercial and Industrial Loans, 13.04, 14.84, 12.91, 16.06, 15.76
67,Loans to Individuals, 6.39,6.90,6.23,7.24,7.80
68,Loans to Depository Institutions, 0.20,0.26,0.18,0.24,0.30
