,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 06/30/2013,06/30/2012,12/31/2012,12/31/2011,12/31/2010
2, Number of BHCs in Peer Group, 92,88,90,70,70
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.79,2.91,2.90,3.04,3.04
6, + Non-interest Income,1.86,1.72,1.88,1.61,1.89
7, - Overhead Expense, 3.22,3.21,3.34,3.16,3.19
8, - Provision for Losses, 0.21,0.32,0.33,0.49,1.10
9, + Securities Gains (Losses),0.03,0.03,0.04,0.05,0.06
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.44,1.23,1.28,1.12,0.77
12, Net Operating Income, 0.95,0.81,0.88,0.72,0.51
13, Net Income, 0.95,0.81,0.87,0.72,0.51
14, Net Income (Sub S Adjusted), N/A,0.10,0.17, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.83,4.11,4.07,4.32,4.54
17, Interest Expense, 0.62,0.75,0.74,0.88,1.07
18, Net Interest Income (TE), 3.15,3.31,3.28,3.37,3.39
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.51,0.77,0.74,1.17,2.04
21, Earnings Coverage of Net Losses (X), 19.11,7.94,8.80,3.51,2.53
22, Ln&Ls Allowance/Total Loans & Leases, 1.51,1.74,1.61,2.11,2.63
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.72,2.26,1.95,2.74,3.75
24, 30-89 Days Past Due Loans and Leases, 0.72,0.80,0.87,0.96,1.20
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,19.19, 19.33, 19.35, 20.15, 25.33
27, Net ST Noncore Funding Dependence,4.08,3.96,3.42,4.17,6.24
28, Net Loans and Leases/Total Assets, 59.08, 57.34, 57.96, 57.64, 57.51
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.55,9.54,9.37,9.26,9.03
31, Equity Capital/Total Assets, 11.50, 11.21, 11.30, 10.91, 10.66
32, Equity Capital+Minority Int/Total Assets,11.76, 11.51, 11.59, 11.12, 10.80
33, Tier 1 Common Eq Cap / T RWA,11.66, 11.64, 11.45, 11.32, 10.46
34, Net Loans&Ls/Equity Capital (X),5.23,5.10,5.20,5.26,5.41
35, Cash Dividends/Net Income, 25.12, 23.53, 25.15, 24.90, 35.74
36, Cash Dividends/Net Income (Sub S Adjusted),N/A,-32.84,-19.73, N/A, N/A
37, Retained Earnings/Avg Equity Cap, 6.13,5.39,5.49,4.71,3.00
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 2.84,1.99,2.47,3.85,2.78
40, Long-Term Debt/Equity Capital, 12.12, 11.40, 13.81, 14.07, 16.28
41, Equity Investment in Subs/Equity Cap, 104.91,106.58,106.52,107.31,108.44
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 168.88,159.94,159.78,126.35,115.83
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,06/30/2013,06/30/2012,12/31/2012,12/31/2011,12/31/2010
46, Interest Income (TE), 3.38,3.63,3.59,3.90,4.07
47, Less: Interest Expense, 0.54,0.66,0.65,0.79,0.96
48, Equals: Net Interest Income (TE), 2.79,2.91,2.90,3.04,3.04
49, Plus: Non-Interest Income,1.86,1.72,1.88,1.61,1.89
50, Equals: Adj Operating Income (TE),4.79,4.71,4.89,4.66,4.92
51, Less: Overhead Expense, 3.22,3.21,3.34,3.16,3.19
52, Less: Provision for Loan and Lease Losses,0.21,0.32,0.33,0.49,1.10
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.03,0.03,0.04,0.05,0.06
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.44,1.23,1.28,1.12,0.77
57,Less: Applicable Income Taxes (TE), 0.48,0.42,0.42,0.39,0.29
58, Less: Minority Interest,0.00,0.00,0.01,0.01,0.00
59, Equals: Net Operating Income, 0.95,0.81,0.88,0.72,0.51
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.95,0.81,0.87,0.72,0.51
62, Memo: Net Income (Last Four Qtrs),0.94,0.75,0.86,0.72,0.52
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 90.18, 90.01, 89.87, 90.30, 89.93
65, Avg Int-Bearing Funds / Avg Assets,68.17, 69.01, 68.65, 70.86, 72.85
66, Int Income (TE) / Avg Earning Assets, 3.83,4.11,4.07,4.32,4.54
67, Int Expense / Avg Earning Assets, 0.62,0.75,0.74,0.88,1.07
68, Net Int Inc (TE) / Avg Earn Assets, 3.15,3.31,3.28,3.37,3.39
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),4.74,5.09,5.06,5.34,5.44
71, Interest-Bearing Bank Balances, 0.31,0.32,0.31,0.34,0.35
72, Fed Funds Sold & Reverse Repos, 0.43,0.36,0.40,0.38,0.45
73, Trading Assets, 1.29,1.40,1.25,1.43,1.37
74, Total Earning Assets, 3.77,4.06,4.03,4.26,4.46
75,Investment Securities (TE), 2.41,2.75,2.65,2.99,3.49
76, U.S. Treasury & Agency Sec (excl MBS),1.33,1.65,1.48,1.74,2.23
77, Mortgage-Backed Securities, 2.31,2.79,2.69,3.16,3.82
78, All Other Securities, 4.04,4.15,4.27,4.73,4.79
79,Interest-Bearing Deposits,0.44,0.54,0.53,0.67,0.88
80, Time Deposits of $100K or More, 0.98,1.18,1.12,1.30,1.55
81, Time Deposits < $100K,1.01,1.26,1.23,1.47,1.76
82, Other Domestic Deposits,0.25,0.30,0.28,0.38,0.53
83, Foreign Deposits, 0.39,0.44,0.46,0.50,0.48
84,Fed Funds Purchased and Repos,0.75,0.88,0.91,0.86,0.82
85, Other Borrowed Funds & Trading Liab,2.09,2.49,2.36,2.41,2.48
86, All Interest-Bearing Funds, 0.70,0.90,0.85,1.11,1.31
87, , , , , , 
88, 3 , , , , , 
89, , 06/30/2013,06/30/2012,12/31/2012,12/31/2011,12/31/2010
90, Avg Personnel Exp Per Employee ($000),49,48,97,90,89
91, Avg Assets per Employee ($000),"7,216"," 7,051"," 7,080"," 6,503"," 6,303"
92, ANALYSIS RATIOS , , , , , 
93,Mutual Fund Fee Inc / Non-Int Income, 2.97,3.22,2.84,3.12,2.86
94,Overhead Exp / NII + Non-Int Income, 66.83, 68.41, 69.11, 68.44, 65.92
95,PERCENT OF AVERAGE ASSETS: , , , , , 
96,Total Overhead Expense, 3.22,3.21,3.34,3.16,3.19
97, Personnel Expense,1.50,1.50,1.49,1.51,1.53
98, Net Occupancy Expense,0.34,0.34,0.34,0.36,0.38
99, Other Operating Expenses, 1.37,1.36,1.50,1.23,1.24
100,Overhead Less Non-Interest Income,1.23,1.40,1.37,1.49,1.28
101,PERCENT OF ADJUSTED OPERATING INCOME (TE): , , , , , 
102,Total Overhead Expense,66.17, 67.73, 68.50, 67.64, 65.03
103, Personnel Expense, 31.86, 32.24, 31.26, 32.51, 31.04
104, Net Occupancy Expense,7.36,7.59,7.36,7.92,7.84
105, Other Operating Expenses,26.17, 27.62, 29.46, 26.22, 25.37
106,Total Non-Interest Income, 37.11, 34.90, 36.31, 33.59, 36.35
107, Fiduciary Activities Income,2.38,2.28,2.18,2.81,3.28
108, Serv Charges on Deposit Accts - Domestic, 4.62,4.70,4.61,5.74,6.22
109, Trading Revenue,1.18,1.42,1.35,1.58,1.80
110, Investment Banking Fees & Commissions,2.74,3.16,2.81,2.86,3.07
111, Venture Capital Revenue,0.05,0.17,0.11,0.12,0.12
112, Net Servicing Fees, 1.11,0.70,0.63,0.65,0.92
113, Net Securitization Income,0.00,0.00,0.01,0.01,0.00
114, Insurance Activities Revenue, 1.15,1.12,1.11,1.03,1.00
115," Net Gain (Loss) - Sales Loans, OREO, Oth", 2.70,1.54,2.05,0.42,0.49
116, Other Non-Interest Income, 11.63, 10.99, 12.07, 12.04, 12.94
117,Overhead Less Non-Interest Income, 28.54, 32.60, 31.82, 33.69, 28.72
118, TAX RATIOS: , , , , , 
119,Appl Inc Taxes/Pretax NOI (TE),29.42, 29.10, 27.20, 27.79, 21.65
120, Appl Inc Tax+TE/Pretax NOI+TE, 33.16, 32.87, 30.97, 32.84, 29.75
121, , , , , , 
122, 4 , , , , , 
123,PERCENT OF TOTAL ASSETS,06/30/2013,06/30/2012,12/31/2012,12/31/2011,12/31/2010
124, Real Estate Loans, 32.44, 33.48, 32.34, 32.56, 34.18
125, Commercial and Industrial Loans, 12.36, 10.95, 11.70, 11.71, 11.77
126, Loans to Individuals, 5.07,4.82,4.94,6.00,5.68
127, Loans to Depository Institutions, 0.12,0.10,0.10,0.14,0.07
128, Agricultural Loans, 0.13,0.12,0.12,0.15,0.17
129, Other Loans and Leases, 4.14,3.74,4.08,3.48,3.40
130,Net Loans and Leases, 59.08, 57.34, 57.96, 57.64, 57.51
131, Debt Securities Over 1 Year, 15.72, 16.82, 15.91, 16.67, 16.23
132, Mutual Funds and Equity Securities, 0.11,0.14,0.12,0.12,0.18
133,Subtotal, 75.79, 75.18, 74.96, 75.85, 75.08
134, Interest-Bearing Bank Balances, 4.38,4.46,4.20,3.96,4.00
135, Federal Funds Sold & Reverse Repos, 1.02,0.83,1.13,1.30,1.27
136, Debt Securities 1 Year or Less, 2.86,3.10,3.05,3.07,3.03
137, Trading Assets, 0.87,1.02,0.98,1.38,1.43
138,Total Earning Assets, 88.14, 88.10, 87.84, 88.19, 87.62
139, Non-Int Cash and Due From Dep Inst, 1.30,1.28,1.52,1.52,1.33
140, Other Real Estate Owned,0.21,0.28,0.22,0.32,0.37
141, All Other Assets,10.41, 10.49, 10.46, 10.18, 10.96
142,MEMORANDA: , , , , , 
143,Short-Term Investments, 9.19,9.46,9.35, 10.02, 10.19
144, U.S. Treasury Securities, 0.53,0.50,0.56,0.66,0.85
145, U.S. Agency Securities (excl MBS),1.33,1.36,1.38,1.81,1.99
146, Municipal Securities, 1.17,1.17,1.13,1.39,1.36
147, Mortgage-Backed Securities,11.84, 13.21, 11.90, 12.85, 11.86
148, Asset-Backed Securities,0.63,0.57,0.65,0.56,0.51
149, Other Debt Securities,0.98,1.02,1.01,1.09,1.13
150, RE Loans Secured by 1-4 Family,15.89, 16.82, 16.40, 14.92, 14.72
151, Revolving,3.26,3.55,3.38,3.76,4.05
152," Closed-End, Sec by First Liens",11.59, 12.06, 11.96,9.88,9.36
153," Closed-End, Sec by Junior Liens",0.53,0.64,0.56,0.80,1.02
154, Commercial Real Estate Loans,14.38, 14.30, 13.68, 15.96, 17.76
155, Construction and Land Dev,1.68,1.81,1.62,2.35,3.38
156, Multifamily,1.73,1.73,1.65,1.61,1.60
157, Nonfarm Nonresidential,10.43, 10.34, 10.10, 11.22, 11.98
158, RE Loans Secured by Farmland, 0.24,0.23,0.22,0.28,0.32
159," LOAN MIX, % OF GROSS LOANS & LEASES: ", , , , , 
160,Real Estate Loans, 55.52, 57.65, 55.63, 55.27, 57.39
161, RE Loans Secured by 1-4 Family,27.16, 29.33, 28.18, 25.96, 25.51
162, Revolving,5.63,6.27,5.91,6.49,6.91
163, Closed-End,20.99, 22.41, 21.74, 18.76, 17.92
164, Commercial Real Estate Loans,24.04, 24.04, 23.19, 26.20, 28.90
165, Construction and Land Dev,2.80,3.07,2.75,3.92,5.54
166, Multifamily,3.04,3.00,2.89,2.73,2.64
167, Nonfarm Nonresidential,17.43, 17.35, 17.10, 18.27, 19.36
168, RE Loans Secured by Farmland, 0.41,0.42,0.39,0.50,0.55
169, Loans to Depository Institutions, 0.23,0.20,0.20,0.33,0.17
170, Commercial and Industrial Loans, 20.47, 19.04, 19.76, 20.23, 19.83
171, Loans to Individuals, 8.74,8.34,8.70, 10.25,9.83
172, Credit Card Loans,2.39,2.21,2.44,3.15,2.54
173, Agricultural Loans, 0.23,0.21,0.23,0.26,0.28
174, Loans to Foreign Govts and Inst,0.01,0.00,0.00,0.01,0.01
175, Other Loans and Leases, 8.24,8.00,8.44,7.17,6.79
176, , , , , , 
177, 5 , , , , , 
178,PERCENT OF TOTAL ASSETS,06/30/2013,06/30/2012,12/31/2012,12/31/2011,12/31/2010
179, Short-Term Investments, 9.19,9.46,9.35, 10.02, 10.19
180, Liquid Assets, 24.21, 25.56, 24.99, 26.81, 25.95
181, Investment Securities, 19.54, 21.19, 20.18, 20.93, 20.42
182, Net Loans and Leases,59.08, 57.34, 57.96, 57.64, 57.51
183," Net Lns, Ls & Stdby Ltrs of Credit",61.02, 59.40, 59.99, 60.14, 60.00
184, Core Deposits, 56.64, 55.80, 55.65, 55.91, 53.59
185, Noncore Funding, 24.39, 24.62, 24.84, 26.62, 29.02
186, Time Deposits of $100K or More, 5.78,6.39,5.83,6.23,6.69
187, Foreign Deposits, 0.98,1.02,1.01,1.65,1.96
188, Fed Funds Purchased and Repos,2.64,3.04,2.65,3.73,4.09
189, Net Fed Funds Purchased (Sold), 1.65,2.09,1.51,2.28,2.58
190, Commercial Paper, 0.15,0.09,0.14,0.11,0.12
191,Oth Borrowings W/Rem Mat 1 Yr or Less,2.82,2.42,2.54,2.68,2.53
192, Earning Assets Repr in 1 Year, 39.92, 39.64, 39.56, 41.57, 42.48
193, Int-Bearing Liab Repr in 1 Year, 11.77, 13.47, 12.42, 13.13, 14.97
194, Long-Term Debt Repr in 1 Year,1.15,1.22,1.31,1.62,2.03
195, Net Assets Repriceable in 1 Year,24.83, 22.91, 23.62, 25.09, 23.91
196,OTHER LIQUIDITY AND FUNDING RATIOS: , , , , , 
197,Net Noncore Funding Dependence,19.19, 19.33, 19.35, 20.15, 25.33
198, Net ST Noncore Funding Dependence,4.08,3.96,3.42,4.17,6.24
199, Short-Term Inv/ST Noncore Funding, 90.17, 85.84, 91.42, 75.15, 65.99
200, Liq Asts-ST Noncore Fndg/Nonliq Asts,16.65, 18.44, 18.49, 20.31, 15.49
201, Net Loans and Leases/Total Deposits, 93.18, 88.80, 93.70, 87.55, 88.15
202, Net Loans and Leases/Core Deposits, 120.61,117.71,125.79,116.55,120.14
203, Held-To-Mat Sec Appr(Depr)/T1 Cap, -0.28,1.31,1.39,0.94,0.28
204, Avail-For-Sale Sec Appr(Depr)/T1 Cap, 0.22,4.16,4.41,3.77,2.05
205, Struct Notes Appr(Depr)/T1 Cap,-0.16, -0.02, -0.02, -0.17, -0.03
206,PERCENT OF INVESTMENT SECURITIES: , , , , , 
207,Held-To-Maturity Securities, 11.72,9.77, 10.63,6.59,5.23
208, Available-For-Sale Securities, 88.28, 90.23, 89.37, 93.41, 94.77
209, U.S. Treasury Securities, 3.70,3.33,3.82,3.64,4.71
210, U.S. Agency Securities (excl MBS),7.33,7.26,7.26,9.19, 11.25
211, Municipal Securities, 6.44,5.56,5.98,6.79,6.92
212, Mortgage-Backed Securities,63.58, 64.76, 63.14, 61.59, 57.24
213, Asset-Backed Securities,3.42,3.28,3.57,3.53,3.48
214, Other Debt Securities,4.93,5.53,5.16,6.86,6.80
215, Mutual Funds and Equity Securities, 0.85,0.95,0.91,1.07,1.15
216,Debt Securities 1 Year or Less,16.38, 16.51, 17.02, 16.71, 17.10
217, Debt Securities 1 To 5 Years,20.21, 25.15, 20.75, 24.10, 27.34
218, Debt Securities Over 5 Years,59.21, 54.04, 57.92, 54.74, 50.65
219, Pledged Securities,40.87, 40.51, 40.49, 47.10, 50.95
220," Structured Notes, Fair Value", 0.16,0.18,0.12,0.39,0.47
221, , , , , , 
222, 6 , , , , , 
223,ANALYSIS RATIOS,06/30/2013,06/30/2012,12/31/2012,12/31/2011,12/31/2010
224, Provision for Ln&Ls Losses/Avg Assets,0.21,0.32,0.33,0.49,1.10
225, Provision for Ln&Ls Losses/Avg Lns&Ls,0.36,0.53,0.55,0.80,1.80
226, Provision for Ln&Ls Losses/Net Losses, 70.33, 69.68, 76.76, 70.36,100.32
227,Ln&Ls Allowance/Total Loans & Leases, 1.51,1.74,1.61,2.11,2.63
228, Ln&Ls Allowance/Net Ln&Ls Losses (X), 6.24,3.33,3.51,2.24,1.70
229, ALLL/Nonaccrual Assets, 132.05,123.16,122.97,115.70, 99.32
230, Ln&Ls Allow/90+ Days PD+Nonaccr Ln&Ls,104.64, 93.08, 98.79, 87.52, 78.33
231,Gross Ln&Ls Losses/Avg Loans & Leases,0.70,0.98,0.94,1.40,2.26
