,Column1,Value1,Value2,Value3,Value4,Value5
0, , 03/31/2004,03/31/2003,12/31/2003,12/31/2002,12/31/2001
1,Number of BHCs in Peer Group, 77,67,69,67,65EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.13,3.30,3.18,3.48,3.34
4,+ Non-interest Income,2.60,2.34,2.31,2.31,2.39
5,- Overhead Expense, 3.54,3.36,3.29,3.48,3.64
6,- Provision for Losses, 0.21,0.34,0.30,0.42,0.42
7,+ Securities Gains (Losses),0.07,0.09,0.06,0.06,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),2.10,2.05,1.98,2.04,1.70
10,Net Operating Income, 1.35,1.31,1.26,1.30,1.05
11,Net Income, 1.39,1.31,1.26,1.30,1.01
12,Interest Expense, 1.40,1.69,1.58,2.11,3.43
13,Net Interest Income (TE), 3.50,3.69,3.55,3.90,3.72
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.35,0.54,0.54,0.68,0.58
16,Earnings Coverage of Net Losses (X), 27.53, 13.25, 10.06, 10.14,9.73
17,Ln&Ls Allowance/Total Loans & Leases, 1.39,1.56,1.45,1.57,1.51
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.77,0.97,0.77,0.94,0.94
19,30-89 Days Past Due Loans and Leases, 0.70,0.85,0.79,0.93,1.11
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,35.08, 32.05, 35.57, 32.89, 34.71
22,Net ST Noncore Funding Dependence, 18.71, 17.92, 19.99, 18.72, 20.90
23,Net Loans and Leases/Total Assets, 55.98, 58.59, 58.56, 59.34, 58.93
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.70,7.46,7.55,7.43,7.34
26,Equity Capital/Total Assets,8.85,8.60,8.59,8.58,8.31
27,Net Loans&Ls/Equity Capital (X),6.52,7.00,6.99,7.07,7.23
28,Cash Dividends/Net Income, 30.26, 29.65, 32.23, 29.58, 37.89
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap,10.61, 10.14,9.62, 10.01,7.00
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 4.13,4.33,3.67,4.41,5.07
33,Long-Term Debt/Equity Capital, 13.91, 14.40, 15.42, 13.73, 14.08
34,Equity Investment in Subs/Equity Cap, 109.39,110.83,110.55,110.46,109.14
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 102.41,115.92,149.30,180.56,166.06
36,PERCENT OF AVERAGE ASSETS,03/31/2004,03/31/2003,12/31/2003,12/31/2002,12/31/2001
37,Interest Income (TE), 4.39,4.80,4.62,5.36,6.43
38,Less: Interest Expense, 1.26,1.51,1.42,1.88,3.09
39,Equals: Net Interest Income (TE), 3.13,3.30,3.18,3.48,3.34
40,Plus: Non-Interest Income,2.60,2.34,2.31,2.31,2.39
41,Equals: Adj Operating Income (TE),5.72,5.62,5.49,5.81,5.74
42,Less: Overhead Expense, 3.54,3.36,3.29,3.48,3.64
43,Less: Provision for Loan and Lease Losses,0.21,0.34,0.30,0.42,0.42
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
