,Column1,Value1,Value2,Value3,Value4,Value5
0, , 03/31/2008,03/31/2007,12/31/2007,12/31/2006,12/31/2005
1,Number of BHCs in Peer Group, 67,67,66,68,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.90,2.99,3.00,3.09,3.08
4,+ Non-interest Income,1.75,1.91,1.64,1.91,2.03
5,- Overhead Expense, 2.82,3.01,2.92,2.97,3.07
6,- Provision for Losses, 0.74,0.17,0.36,0.15,0.15
7,+ Securities Gains (Losses),0.05,0.02, -0.02, -0.01,0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.18,1.71,1.33,1.83,1.93
10,Net Operating Income, 0.78,1.11,0.88,1.18,1.24
11,Net Income, 0.77,1.11,0.88,1.21,1.25
12,Interest Expense, 2.91,3.43,3.44,3.16,2.21
13,Net Interest Income (TE), 3.24,3.33,3.34,3.42,3.45
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.62,0.24,0.38,0.23,0.28
16,Earnings Coverage of Net Losses (X),7.57, 15.20, 13.60, 33.33, 22.73
17,Ln&Ls Allowance/Total Loans & Leases, 1.33,1.11,1.22,1.11,1.13
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.33,0.61,1.08,0.57,0.48
19,30-89 Days Past Due Loans and Leases, 1.12,0.75,1.03,0.81,0.69
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,42.33, 37.20, 40.36, 37.63, 37.84
22,Net ST Noncore Funding Dependence, 27.00, 23.26, 26.13, 23.42, 23.55
23,Net Loans and Leases/Total Assets, 63.82, 63.19, 63.86, 62.66, 60.09
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.37,7.67,7.45,7.79,7.44
26,Equity Capital/Total Assets,9.19,9.25,9.36,9.22,8.88
27,Net Loans&Ls/Equity Capital (X),7.22,7.02,7.15,6.97,6.97
28,Cash Dividends/Net Income, 57.43, 39.43, 50.48, 36.79, 39.81
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 3.43,7.05,3.96,8.58,8.40
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 4.60,3.13,3.66,3.12,2.55
33,Long-Term Debt/Equity Capital, 11.53, 12.03, 11.89, 11.77, 12.45
34,Equity Investment in Subs/Equity Cap, 113.03,111.14,112.49,110.24,108.78
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 104.18,137.44,140.05,134.43,147.51
36,PERCENT OF AVERAGE ASSETS,03/31/2008,03/31/2007,12/31/2007,12/31/2006,12/31/2005
37,Interest Income (TE), 5.52,6.10,6.13,5.95,5.08
38,Less: Interest Expense, 2.60,3.09,3.08,2.85,1.98
39,Equals: Net Interest Income (TE), 2.90,2.99,3.00,3.09,3.08
40,Plus: Non-Interest Income,1.75,1.91,1.64,1.91,2.03
41,Equals: Adj Operating Income (TE),4.69,4.93,4.69,4.97,5.15
42,Less: Overhead Expense, 2.82,3.01,2.92,2.97,3.07
43,Less: Provision for Loan and Lease Losses,0.74,0.17,0.36,0.15,0.15
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.05,0.01, -0.02, -0.01,0.01
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),0.79,1.16,0.87,1.21,1.25
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.53, 90.07, 89.70, 90.22, 89.84
50,Avg Int-Bearing Funds / Avg Assets,77.29, 76.24, 76.48, 75.80, 74.48
51,Int Income (TE) / Avg Earning Assets, 6.17,6.77,6.82,6.60,5.66
52,Int Expense / Avg Earning Assets, 2.91,3.43,3.44,3.16,2.21
53,Interest-Bearing Bank Balances, 4.01,5.03,5.42,5.07,3.49
54,Fed Funds Sold & Reverse Repos, 3.34,5.31,5.20,5.08,3.24
55,Trading Assets, 2.57,3.27,3.45,2.87,2.47
56,Mortgage-Backed Securities, 4.88,4.94,4.90,4.71,4.31
57,Time Deposits < $100K,4.20,4.39,4.47,3.96,2.90
58,Other Domestic Deposits,1.85,2.53,2.49,2.26,1.41
59,All Interest-Bearing Funds, 3.39,4.06,4.04,3.77,2.65
60, , 03/31/2008,03/31/2007,12/31/2007,12/31/2006,12/31/2005
61,Avg Personnel Exp Per Employee ($000),20,20,75,74,73
62,Avg Assets per Employee ($000),"5,634"," 5,238"," 5,301"," 5,057"," 4,727"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.50,1.65,1.52,1.61,1.65
65,Net Occupancy Expense,0.39,0.41,0.39,0.40,0.42
66,Personnel Expense, 31.95, 33.28, 32.34, 32.03, 31.93
67,Net Occupancy Expense,8.49,8.30,8.54,8.03,8.01
68,Serv Charges on Deposit Accts - Domestic, 7.26,6.94,7.58,6.77,7.11
69,Trading Revenue,0.39,1.32,0.20,1.15,1.03
70,Investment Banking Fees & Commissions,3.09,3.06,3.27,3.04,3.71
71,Venture Capital Revenue,0.07,0.18,0.23,0.19,0.18
72,Net Servicing Fees, 0.76,0.72,0.82,0.68,1.12
73,Net Securitization Income,0.07,0.37,0.31,0.37,0.24
74,Insurance Activities Revenue, 1.06,1.26,1.21,1.24,1.49
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 0.72,1.38,1.04,1.36,1.60
76,Appl Inc Taxes/Pretax NOI (TE),28.71, 30.86, 29.08, 30.50, 31.62
77,Appl Inc Tax+TE/Pretax NOI+TE, 33.39, 34.27, 33.27, 34.13, 34.72
78,PERCENT OF TOTAL ASSETS,03/31/2008,03/31/2007,12/31/2007,12/31/2006,12/31/2005
79,Real Estate Loans, 40.98, 40.20, 40.82, 39.85, 37.12
80,Commercial and Industrial Loans, 12.98, 12.32, 12.81, 11.89, 11.36
81,Loans to Individuals, 5.17,5.45,5.33,5.36,5.62
82,Loans to Depository Institutions, 0.10,0.08,0.09,0.11,0.11
83,Agricultural Loans, 0.19,0.22,0.21,0.21,0.20
84,Other Loans and Leases, 3.22,3.11,3.26,3.17,3.45
85, Net Loans and Leases, 63.82, 63.19, 63.86, 62.66, 60.09
86,Debt Securities Over 1 Year, 12.81, 13.51, 13.05, 13.87, 17.30
87,Mutual Funds and Equity Securities, 0.20,0.21,0.24,0.26,0.24
88, Subtotal, 77.51, 77.75, 78.00, 77.54, 79.60
89,Interest-Bearing Bank Balances, 0.71,0.61,0.50,0.55,0.69
90,Federal Funds Sold & Reverse Repos, 2.07,3.36,2.24,2.68,2.18
91,Debt Securities 1 Year or Less, 3.12,2.76,3.08,3.12,1.65
92,Trading Assets, 1.59,1.51,1.34,1.15,1.51
93, Total Earning Assets, 87.39, 88.40, 87.57, 88.10, 87.92
