,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2002,09/30/2001,12/31/2001,12/31/2000,12/31/1999
1,Number of BHCs in Peer Group, 66,63,65,62,59EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,- Provision for Losses, 0.43,0.38,0.43,0.32,0.27
4,+ Securities Gains (Losses),0.05,0.06,0.06, -0.01,0.03
5,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
6,= Pretax Net Oper Income (TE),2.05,1.78,1.71,1.97,2.13
7,Net Operating Income, 1.31,1.09,1.06,1.22,1.33
8,Net Income, 1.30,1.09,1.02,1.22,1.33
9,Interest Expense, 2.16,3.73,3.42,4.49,3.76
10,Net Interest Income (TE), 3.95,3.73,3.76,3.81,3.89
11,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
12,Net Ln&Ls Losses/Avg Loans & Leases,0.67,0.53,0.58,0.43,0.40
13,Earnings Coverage of Net Losses (X), 10.22, 10.70,9.73, 10.83, 11.74
14,Ln&Ls Allowance/Total Loans & Leases, 1.54,1.46,1.50,1.44,1.44
15,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.98,0.90,0.93,0.76,0.61
16,30-89 Days Past Due Loans and Leases, 0.88,1.14,1.11,1.10,0.95
17,LIQUIDITY AND FUNDING:, , , , , 
18,Net Noncore Funding Dependence,32.75, 36.05, 34.38, 37.24, 37.89
19,Net ST Noncore Funding Dependence, 18.71, 22.88, 20.81, 24.66, 25.88
20,Equity Capital/Total Assets,8.58,8.59,8.33,8.09,7.58
21,Net Loans&Ls/Equity Capital (X),7.07,7.08,7.26,7.79,7.93
22,Cash Dividends/Net Income, 29.00, 38.28, 39.37, 40.82, 35.55
23,Cash Dividends/Net Income (Sub S Adjusted), NA,NA,NA,NA,NA
24,Retained Earnings/Avg Equity Cap,10.06,7.66,7.08,9.03, 10.19
25,PARENT COMPANY RATIOS:, , , , , 
26,Short-Term Debt/Equity Capital, 4.29,5.74,5.02,7.07,6.45
27,Long-Term Debt/Equity Capital, 13.33, 12.27, 12.83, 13.78, 15.63
28,Equity Investment in Subs/Equity Cap, 109.72,109.28,109.13,109.76,110.30
29,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 158.44,145.18,168.45,150.79,145.12
30,PERCENT OF AVERAGE ASSETS,09/30/2002,09/30/2001,12/31/2001,12/31/2000,12/31/1999
31,Interest Income (TE), 5.46,6.72,6.47,7.44,6.88
32,Less: Interest Expense, 1.93,3.35,3.08,4.02,3.36
33,Equals: Net Interest Income (TE), 3.54,3.35,3.38,3.42,3.49
34,Plus: Non-Interest Income,2.20,2.41,2.30,2.47,2.44
35,Equals: Adj Operating Income (TE),5.75,5.75,5.68,5.87,5.97
36,Plus: Realized G/L on AFS Sec,0.05,0.06,0.06, -0.01,0.03
37,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
38,Memo: Net Income (Last Four Qtrs),1.17,1.10,1.02,1.23,1.37
39,MARGIN ANALYSIS:, , , , , 
40,Avg Earning Assets / Avg Assets, 89.65, 90.03, 89.98, 89.89, 89.41
41,Avg Int-Bearing Funds / Avg Assets,75.84, 74.99, 75.16, 75.64, 74.94
42,Int Income (TE) / Avg Earning Assets, 6.10,7.47,7.21,8.31,7.69
43,Int Expense / Avg Earning Assets, 2.16,3.73,3.42,4.49,3.76
44,Interest-Bearing Bank Balances, 2.28,5.18,4.65,7.59,6.66
45,Mortgage-Backed Securities, 5.36,6.11,5.91,NA,NA
46,Time Deposits < $100K,3.63,5.61,5.29,5.71,4.97
47,Other Domestic Deposits,1.33,2.57,2.30,3.16,2.66
48,All Interest-Bearing Funds, 2.54,4.53,4.15,5.38,4.49
49, , 09/30/2002,09/30/2001,12/31/2001,12/31/2000,12/31/1999
50,Avg Personnel Exp Per Employee ($000),46,45,59,58,53
51,Avg Assets per Employee ($000),"3,714"," 3,501"," 3,517"," 3,430"," 3,090"
52,ANALYSIS RATIOS, , , , , 
53,Personnel Expense,1.76,1.81,1.78,1.77,1.77
54,Net Occupancy Expense,0.47,0.49,0.48,0.49,0.49
55,Personnel Expense, 30.67, 31.53, 31.09, 30.14, 29.57
56,Net Occupancy Expense,8.31,8.68,8.67,8.43,8.22
57,Serv Charges on Deposit Accts - Domestic, 8.23,7.95,7.91,7.47,6.92
58,Trading Revenue,1.25,2.40,2.16,NA,NA
59,Investment Banking Fees & Commissions,4.62,5.13,5.02,NA,NA
60,Venture Capital Revenue, -0.22, -0.36, -0.41,NA,NA
61,Net Servicing Fees, 1.12,1.29,1.14,NA,NA
62,Appl Inc Taxes/Pretax NOI (TE),31.92, 33.60, 33.22, 33.08, 33.73
63,Appl Inc Tax+TE/Pretax NOI+TE, 35.04, 37.33, 37.15, 36.38, 36.48
64,PERCENT OF TOTAL ASSETS,09/30/2002,09/30/2001,12/31/2001,12/31/2000,12/31/1999
65,Real Estate Loans, 33.76, 31.61, 32.45, 32.15, 30.38
66,Commercial and Industrial Loans, 12.46, 13.54, 12.90, 16.06, 15.76
67,Loans to Individuals, 6.46,6.60,6.23,7.24,7.80
68,Loans to Depository Institutions, 0.18,0.21,0.18,0.24,0.30
69,Agricultural Loans, 0.23,0.22,0.21,0.23,0.25
70,Mutual Funds and Equity Securities, 0.41,0.43,0.49,1.08,1.08
71, Subtotal, 78.49, 76.82, 77.08, 79.82, 79.44
72,Interest-Bearing Bank Balances, 0.67,1.14,1.08,0.76,0.60
73,Federal Funds Sold & Reverse Repos, 2.57,2.59,2.86,2.39,2.43
74,Debt Securities 1 Year or Less, 2.08,2.02,1.88,1.92,1.68
75,Trading Assets, 1.81,1.93,1.86,1.83,1.75
76, Total Earning Assets, 87.83, 87.08, 87.32, 88.63, 88.59
77,Non-Int Cash and Due From Dep Inst, 3.32,3.21,3.52,3.58,3.61
78,Acceptances,0.03,0.04,0.03,0.06,0.07
79,Other Real Estate Owned,0.05,0.05,0.05,0.04,0.04
80,U.S. Treasury Securities, 0.44,0.40,0.40,0.67,1.06
81,U.S. Agency Securities (excl MBS),3.19,2.45,2.56,2.69,2.46
82,Municipal Securities, 0.82,0.83,0.84,0.88,0.92
83,Mortgage-Backed Securities,11.86, 11.09, 11.45,9.82, 10.45
84,Asset-Backed Securities,0.49,0.51,0.55,NA,NA
85,Other Debt Securities,0.74,0.75,0.69,3.26,3.16
86,RE Loans Secured by 1-4 Family,16.81, 16.89, 17.22, 17.09, 16.78
87,Commercial Real Estate Loans,14.42, 12.52, 12.95, 13.09, 11.88
88,Construction and Land Dev,3.79,3.33,3.48,2.99,2.53
89,Multifamily,1.21,1.04,1.08,1.14,1.09
90,Nonfarm Nonresidential, 8.70,7.74,8.00,8.47,7.81
91,RE Loans Secured by Farmland, 0.21,0.17,0.16,0.19,0.17
92,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
93,Real Estate Loans, 54.27, 50.68, 52.35, 48.82, 47.01
94,RE Loans Secured by 1-4 Family,27.31, 27.42, 27.90, 26.35, 26.18
95,Revolving,5.46,4.37,4.44,4.05,3.37
96,Closed-End,21.34, 22.69, 23.07, 22.02, 22.62
97,Commercial Real Estate Loans,22.85, 19.49, 20.38, 19.49, 18.02
98,Construction and Land Dev,5.99,5.18,5.48,4.40,3.77
99,Multifamily,1.91,1.64,1.72,1.74,1.71
100,Nonfarm Nonresidential,13.79, 12.06, 12.60, 12.64, 11.88
101,RE Loans Secured by Farmland, 0.31,0.25,0.24,0.28,0.26
102,Loans to Depository Institutions, 0.40,0.42,0.36,0.43,0.60
103,Commercial and Industrial Loans, 21.74, 23.24, 22.53, 26.27, 26.84
104,Loans to Individuals,10.83, 10.84, 10.38, 11.30, 12.35
105,Credit Card Loans,1.22,1.00,1.00,1.84,2.09
106,Agricultural Loans, 0.37,0.34,0.32,0.35,0.38
107,Loans to Foreign Govts and Inst,0.03,0.03,0.04,0.03,0.09
108,Other Loans and Leases, 8.57, 10.15, 10.00,9.74,9.28
109,PERCENT OF TOTAL ASSETS,09/30/2002,09/30/2001,12/31/2001,12/31/2000,12/31/1999
110,Short-Term Investments, 5.97,6.23,6.52,5.65,5.42
