,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2008,09/30/2007,12/31/2007,12/31/2006,12/31/2005
1,Number of BHCs in Peer Group, 66,66,66,68,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.91,3.00,3.00,3.09,3.08
4,+ Non-interest Income,1.66,1.80,1.64,1.91,2.03
5,- Overhead Expense, 3.01,2.92,2.96,2.97,3.07
6,- Provision for Losses, 1.00,0.24,0.36,0.15,0.15
7,+ Securities Gains (Losses), -0.09,0.01, -0.02, -0.01,0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),0.49,1.61,1.31,1.83,1.93
10,Net Operating Income, 0.30,1.04,0.86,1.18,1.24
11,Net Income, 0.27,1.03,0.87,1.21,1.25
12,Interest Expense, 2.51,3.47,3.44,3.16,2.21
13,Net Interest Income (TE), 3.25,3.34,3.34,3.42,3.45
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.88,0.30,0.38,0.23,0.28
16,Earnings Coverage of Net Losses (X),2.46, 22.53, 13.40, 33.33, 22.73
17,Ln&Ls Allowance/Total Loans & Leases, 1.65,1.14,1.22,1.11,1.13
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.97,0.83,1.08,0.57,0.48
19,30-89 Days Past Due Loans and Leases, 1.27,0.95,1.03,0.81,0.69
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,42.99, 39.86, 40.68, 37.63, 37.84
22,Net ST Noncore Funding Dependence, 27.48, 25.49, 26.24, 23.42, 23.55
23,Net Loans and Leases/Total Assets, 64.90, 63.33, 63.88, 62.66, 60.09
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.50,7.63,7.42,7.79,7.44
26,Equity Capital/Total Assets,9.02,9.65,9.31,9.22,8.88
27,Net Loans&Ls/Equity Capital (X),7.53,6.93,7.17,6.97,6.97
28,Cash Dividends/Net Income, 77.41, 43.71, 50.49, 36.79, 39.81
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap,-2.37,5.85,3.67,8.58,8.40
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 4.46,3.27,3.73,3.12,2.55
33,Long-Term Debt/Equity Capital, 12.98, 11.89, 11.89, 11.77, 12.45
34,Equity Investment in Subs/Equity Cap, 112.72,111.62,112.58,110.24,108.78
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,98.70,153.20,138.88,134.43,147.51
36,PERCENT OF AVERAGE ASSETS,09/30/2008,09/30/2007,12/31/2007,12/31/2006,12/31/2005
37,Interest Income (TE), 5.18,6.15,6.13,5.95,5.08
38,Less: Interest Expense, 2.24,3.10,3.08,2.85,1.98
39,Equals: Net Interest Income (TE), 2.91,3.00,3.00,3.09,3.08
40,Plus: Non-Interest Income,1.66,1.80,1.64,1.91,2.03
41,Equals: Adj Operating Income (TE),4.64,4.84,4.68,4.97,5.15
42,Less: Overhead Expense, 3.01,2.92,2.96,2.97,3.07
43,Less: Provision for Loan and Lease Losses,1.00,0.24,0.36,0.15,0.15
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec, -0.09,0.01, -0.02, -0.01,0.01
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),0.28,1.04,0.85,1.21,1.25
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.57, 89.68, 89.70, 90.22, 89.84
50,Avg Int-Bearing Funds / Avg Assets,77.20, 75.94, 76.48, 75.80, 74.48
51,Int Income (TE) / Avg Earning Assets, 5.79,6.84,6.82,6.60,5.66
52,Int Expense / Avg Earning Assets, 2.51,3.47,3.44,3.16,2.21
53,Interest-Bearing Bank Balances, 3.29,5.29,5.42,5.07,3.49
54,Fed Funds Sold & Reverse Repos, 2.66,5.32,5.20,5.08,3.24
55,Trading Assets, 2.62,3.39,3.45,2.87,2.44
56,Mortgage-Backed Securities, 4.93,4.89,4.89,4.71,4.31
57,Time Deposits < $100K,3.66,4.50,4.47,3.96,2.90
58,Other Domestic Deposits,1.51,2.58,2.50,2.26,1.41
59,All Interest-Bearing Funds, 2.92,4.09,4.04,3.77,2.65
60, , 09/30/2008,09/30/2007,12/31/2007,12/31/2006,12/31/2005
61,Avg Personnel Exp Per Employee ($000),59,58,75,74,73
62,Avg Assets per Employee ($000),"5,752"," 5,299"," 5,301"," 5,057"," 4,727"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.48,1.56,1.52,1.61,1.65
65,Net Occupancy Expense,0.39,0.40,0.39,0.40,0.42
66,Personnel Expense, 31.96, 32.33, 32.37, 32.03, 31.93
67,Net Occupancy Expense,8.57,8.35,8.55,8.03,8.01
68,Serv Charges on Deposit Accts - Domestic, 7.89,7.45,7.59,6.77,7.11
69,Trading Revenue,0.38,0.93,0.20,1.15,1.03
70,Investment Banking Fees & Commissions,3.27,3.22,3.28,3.04,3.71
71,Venture Capital Revenue,0.05,0.21,0.23,0.19,0.18
72,Net Servicing Fees, 0.99,0.87,0.82,0.68,1.12
73,Net Securitization Income,0.16,0.29,0.31,0.37,0.24
74,Insurance Activities Revenue, 0.99,1.17,1.21,1.24,1.49
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 0.31,1.44,0.97,1.36,1.60
76,Appl Inc Taxes/Pretax NOI (TE),27.81, 30.49, 28.98, 30.50, 31.62
77,Appl Inc Tax+TE/Pretax NOI+TE, 32.55, 34.12, 32.86, 34.13, 34.72
78,PERCENT OF TOTAL ASSETS,09/30/2008,09/30/2007,12/31/2007,12/31/2006,12/31/2005
79,Real Estate Loans, 41.39, 40.43, 40.85, 39.85, 37.12
80,Commercial and Industrial Loans, 13.41, 12.69, 12.81, 11.89, 11.36
81,Loans to Individuals, 5.23,5.39,5.33,5.36,5.62
82,Loans to Depository Institutions, 0.11,0.09,0.09,0.11,0.11
83,Agricultural Loans, 0.20,0.22,0.21,0.21,0.20
84,Other Loans and Leases, 3.36,3.09,3.26,3.17,3.45
85, Net Loans and Leases, 64.90, 63.33, 63.88, 62.66, 60.09
86,Debt Securities Over 1 Year, 12.58, 13.35, 13.05, 13.87, 17.30
87,Mutual Funds and Equity Securities, 0.16,0.22,0.24,0.26,0.24
88, Subtotal, 78.36, 77.72, 78.03, 77.54, 79.60
89,Interest-Bearing Bank Balances, 0.57,0.58,0.50,0.55,0.69
90,Federal Funds Sold & Reverse Repos, 1.34,2.35,2.24,2.68,2.18
91,Debt Securities 1 Year or Less, 2.90,3.07,3.08,3.12,1.65
92,Trading Assets, 1.36,1.64,1.34,1.15,1.51
93, Total Earning Assets, 86.69, 87.35, 87.60, 88.10, 87.92
94,Non-Int Cash and Due From Dep Inst, 2.31,2.05,2.28,2.38,2.74
95,Other Real Estate Owned,0.18,0.08,0.10,0.06,0.04
96,U.S. Treasury Securities, 0.13,0.16,0.14,0.32,0.46
97,U.S. Agency Securities (excl MBS),1.66,2.82,2.38,3.46,3.19
98,Municipal Securities, 1.06,1.14,1.13,1.07,0.89
99,Mortgage-Backed Securities, 9.98,9.59,9.64,9.68, 11.62
100,Asset-Backed Securities,0.49,0.30,0.35,0.22,0.25
101,Other Debt Securities,0.52,0.71,0.75,0.60,0.74
102,RE Loans Secured by 1-4 Family,16.26, 16.34, 16.28, 16.64, 17.72
103,Revolving,4.14,3.72,3.71,3.86,4.51
104,"Closed-End, Sec by First Liens",10.16, 10.59, 10.54, 10.76, 11.62
105,"Closed-End, Sec by Junior Liens",1.60,1.77,1.76,1.67,1.38
106,Commercial Real Estate Loans,22.75, 21.71, 22.22, 20.91, 17.20
107,Construction and Land Dev,7.77,8.04,8.05,7.45,5.51
108,Multifamily,1.55,1.34,1.35,1.55,1.22
109,Nonfarm Nonresidential,12.55, 11.35, 11.82, 11.02,9.86
110,RE Loans Secured by Farmland, 0.28,0.27,0.27,0.23,0.21
111,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
112,Real Estate Loans, 61.60, 61.79, 61.95, 61.98, 60.26
113,RE Loans Secured by 1-4 Family,24.80, 26.11, 25.69, 26.62, 29.55
114,Revolving,6.16,5.69,5.63,5.88,7.07
115,Closed-End,18.22, 20.01, 19.66, 20.25, 21.93
116,Commercial Real Estate Loans,33.31, 32.79, 33.36, 31.92, 27.42
117,Construction and Land Dev, 11.27, 12.03, 11.91, 11.10,8.61
118,Multifamily,2.31,2.06,2.04,2.44,2.00
119,Nonfarm Nonresidential,18.23, 17.16, 17.77, 16.60, 15.76
120,RE Loans Secured by Farmland, 0.39,0.40,0.40,0.34,0.31
121,Loans to Depository Institutions, 0.24,0.19,0.20,0.18,0.21
122,Commercial and Industrial Loans, 20.49, 20.03, 19.92, 18.82, 18.75
123,Loans to Individuals, 8.07,8.58,8.39,8.68,9.50
124,Credit Card Loans,1.17,1.20,1.26,1.18,1.33
125,Agricultural Loans, 0.29,0.33,0.31,0.33,0.32
126,Loans to Foreign Govts and Inst,0.00,0.00,0.00,0.01,0.01
127,Other Loans and Leases, 5.60,5.32,5.47,6.21,7.24
128,PERCENT OF TOTAL ASSETS,09/30/2008,09/30/2007,12/31/2007,12/31/2006,12/31/2005
129,Short-Term Investments, 5.95,6.81,6.88,8.04,5.73
130,Liquid Assets, 18.93, 20.11, 19.58, 22.35, 23.89
131,Investment Securities, 16.26, 17.30, 16.99, 18.55, 20.03
132,Net Loans and Leases,64.90, 63.33, 63.88, 62.66, 60.09
133,"Net Lns, Ls & Stdby Ltrs of Credit",67.94, 66.53, 66.91, 65.82, 63.42
134,Core Deposits, 45.61, 47.01, 46.67, 48.23, 49.27
135,Noncore Funding, 38.83, 36.78, 37.67, 36.10, 34.96
136,Time Deposits of $100K or More, 9.99, 10.44, 10.08, 11.73,9.25
137,Foreign Deposits, 2.61,3.08,3.12,2.70,2.55
138,Fed Funds Purchased and Repos,6.46,7.27,7.30,7.72,8.72
139,Net Fed Funds Purchased (Sold), 4.98,5.05,4.96,4.92,5.91
140,Int-Bearing Liab Repr in 1 Year, 21.24, 22.23, 22.78, 22.38, 17.46
141,Long-Term Debt Repr in 1 Year,2.26,2.35,2.17,2.14,2.13
142,Net ST Noncore Funding Dependence, 27.48, 25.49, 26.24, 23.42, 23.55
143,Short-Term Inv/ST Noncore Funding, 20.72, 24.25, 24.89, 26.53, 23.69
144,Liq Asts-ST Noncore Fndg/Nonliq Asts,-9.43, -6.65, -8.26, -3.40,1.72
145,Net Loans and Leases/Total Deposits,103.89,100.81,101.89, 97.38, 97.41
146,Net Loans and Leases/Core Deposits, 156.92,148.94,151.74,156.68,146.04
147,Held-To-Mat Sec Appr(Depr)/T1 Cap, -0.70, -0.32, -0.09, -0.59, -0.70
148,Avail-For-Sale Sec Appr(Depr)/T1 Cap,-5.87, -2.00, -1.37, -1.93, -3.11
149,Available-For-Sale Securities, 94.38, 93.69, 93.93, 92.47, 91.79
150,U.S. Treasury Securities, 1.09,1.23,1.15,2.12,2.93
151,U.S. Agency Securities (excl MBS), 10.24, 15.93, 14.07, 17.97, 15.52
152,Municipal Securities, 6.89,6.73,6.71,5.90,4.29
153,Mortgage-Backed Securities,64.29, 59.79, 60.61, 59.23, 60.53
154,Asset-Backed Securities,3.42,2.35,2.79,1.59,1.64
155,Other Debt Securities,4.22,4.90,5.41,3.89,4.62
156,Debt Securities Over 5 Years,60.96, 57.96, 58.04, 56.17, 62.90
157,Pledged Securities,68.22, 61.45, 63.70, 61.87, 59.46
158,"Structured Notes, Fair Value", 0.24,0.22,0.32,0.20,0.27
159,ANALYSIS RATIOS,09/30/2008,09/30/2007,12/31/2007,12/31/2006,12/31/2005
160,Provision for Ln&Ls Losses/Avg Assets,1.00,0.24,0.36,0.15,0.15
161,Provision for Ln&Ls Losses/Avg Lns&Ls,1.50,0.38,0.56,0.25,0.26
162,ALLL/Nonaccrual Assets, 122.15,241.80,193.95,330.96,349.72
163,Net Losses/Avg Loans and Leases,0.88,0.30,0.38,0.23,0.28
164,"Write-downs, Trans Lns HFS/Avg Lns&Ls",0.01,0.00,0.00,0.00,0.00
165,Recoveries/Prior Year-End Losses,16.39, 23.31, 30.58, 31.81, 30.96
166,Earnings Coverage of Net Losses (X),2.46, 22.53, 13.40, 33.33, 22.73NET LOAN AND LEASE LOSSES BY TYPE---------------------------------
167,Real Estate Loans,0.81,0.13,0.18,0.08,0.06
168,RE Loans Secured By 1-4 Family, 0.61,0.14,0.18,0.09,0.08
169,Revolving,0.72,0.20,0.24,0.12,0.07
170,Closed-End, 0.52,0.12,0.15,0.08,0.07
171,Commercial Real Estate Loans, 0.82,0.09,0.14,0.04,0.03
172,Construction and Land Dev,1.79,0.13,0.25,0.03,0.01
173,Multifamily,0.21,0.03,0.07,0.02,0.02
174,Nonfarm Nonresidential, 0.16,0.05,0.06,0.04,0.04
175,Other Loans and Leases, 0.38,0.21,0.27,0.22,0.41
176,PERCENT OF LOANS AND LEASES,09/30/2008,09/30/2007,12/31/2007,12/31/2006,12/31/2005
177,30-89 Days PD Loans and Leases, 1.27,0.95,1.03,0.81,0.69
178,90+ Days PD Loans and Leases, 0.25,0.18,0.21,0.15,0.16
179,Nonaccrual Restructured,0.05,0.01,0.01,0.00,0.00PERCENT OF LNS&LS + OTHER ASSETS30+ DAYS PAST DUE AND NONACCRUAL
180,30-89 Days Past Due Assets, 1.28,0.95,1.03,0.81,0.69
181,90+ Days Past Due Assets, 0.26,0.18,0.21,0.15,0.16
182,Nonaccrual Assets,1.75,0.71,0.94,0.50,0.43
183,30+ Days PD & Nonaccrual Assets,3.38,1.93,2.29,1.50,1.31PERCENT OF TOTAL ASSETS-----------------------
184,90+ Days PD and Nonaccrual Assets,1.39,0.58,0.77,0.42,0.36
185,90+ PD & Nonaccrual Assets + OREO,1.60,0.68,0.90,0.48,0.42RESTRUCTURED & NONACCRUAL LNS&LS+ REAL ESTATE ACQUIRED AS PERCENT OF:
186,Total Assets, 1.40,0.54,0.74,0.35,0.29
187,Allowance for Loan & Lease Losses,125.27, 74.08, 91.20, 50.61, 42.13
188,Equity Cap + ALLL, 15.98,6.01,7.98,3.91,3.34
189,Tier 1 Cap + ALLL, 16.72,6.65,9.21,4.32,3.85
190,Loans & Leases + RE Acquired, 2.11,0.88,1.17,0.58,0.49
191, - 90+ Days Past Due, 0.26,0.17,0.20,0.14,0.13
192, - Nonaccrual,2.40,0.89,1.23,0.56,0.43
193, - 90+ Days Past Due, 0.08,0.07,0.08,0.05,0.07
194, - Nonaccrual,0.86,0.47,0.50,0.52,0.61
195, - 90+ Days Past Due, 0.33,0.30,0.29,0.31,0.29
196, - Nonaccrual,0.33,0.20,0.24,0.14,0.16
197,Dep Inst Lns - 30-89 Days PD, 0.00,0.00,0.02,0.00,0.00
198, - 90+ Days Past Due, 0.00,0.00,0.01,0.00,0.00
199, - Nonaccrual,0.00,0.00,0.00,0.00,0.03
200,Agricultural - 30-89 Days PD, 0.42,0.25,0.28,0.27,0.28
201, - 90+ Days Past Due, 0.04,0.03,0.02,0.02,0.01
202, - Nonaccrual,0.55,0.67,0.43,0.36,0.35
203,Foreign Govts- 30-89 Days PD, 0.00,0.03,0.29,1.35,0.35
204, - 90+ Days Past Due, 0.00,0.00,0.00,0.00,0.00
205, - Nonaccrual,0.01,0.00,0.00,0.00,0.00
206,Other Lns&Ls - 30-89 Days PD, 0.56,0.52,0.59,0.49,0.43
207, - 90+ Days Past Due, 0.04,0.02,0.03,0.02,0.02
208,- 90+ Days Past Due,0.34,0.24,0.28,0.20,0.20
