,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 09/30/2015,09/30/2014,12/31/2014,12/31/2013,12/31/2012
2, Number of BHCs in Peer Group, 92,91,90,90,90
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.82,2.89,2.88,2.84,2.90
6, + Non-interest Income,1.46,1.52,1.51,1.74,1.88
7, - Overhead Expense, 2.82,2.94,2.93,3.15,3.34
8, - Provision for Losses, 0.14,0.14,0.14,0.19,0.33
9, + Securities Gains (Losses),0.02,0.01,0.02,0.02,0.04
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.38,1.43,1.42,1.40,1.28
12, Net Operating Income, 0.94,0.95,0.96,0.94,0.88
13, Net Income, 0.94,0.95,0.96,0.94,0.87
14, Net Income (Sub S Adjusted),1.43, N/A, N/A, N/A,0.17
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.57,3.73,3.71,3.82,4.08
17, Interest Expense, 0.44,0.49,0.49,0.60,0.74
18, Net Interest Income (TE), 3.10,3.20,3.18,3.17,3.28
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.26,0.29,0.30,0.44,0.74
21, Earnings Coverage of Net Losses (X), 16.67, 32.47, 32.43, 19.55,8.80
22, Ln&Ls Allowance/Total Loans & Leases, 1.16,1.27,1.23,1.40,1.61
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.03,1.18,1.09,1.40,1.94
24, 30-89 Days Past Due Loans and Leases, 0.53,0.57,0.60,0.68,0.87
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,16.74, 16.99, 17.28, 17.98, 19.34
27, Net ST Noncore Funding Dependence,3.83,4.18,4.06,3.61,3.44
28, Net Loans and Leases/Total Assets, 62.89, 61.39, 61.49, 60.31, 57.97
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.73,9.82,9.82,9.63,9.38
31, Equity Capital/Total Assets, 11.70, 11.84, 11.73, 11.61, 11.30
32, Equity Capital+Minority Int/Total Assets,11.80, 12.01, 11.90, 11.78, 11.59
33, Tier 1 Common Eq Cap / T RWA,12.10, 12.09, 11.97, 11.79, 11.43
34, Net Loans&Ls/Equity Capital (X),5.40,5.20,5.27,5.28,5.20
35, Cash Dividends/Net Income, 30.39, 27.09, 28.01, 27.33, 25.15
36, Cash Dividends/Net Income (Sub S Adjusted),27.21, N/A, N/A, N/A,-19.73
37, Retained Earnings/Avg Equity Cap, 5.36,5.74,5.63,5.83,5.49
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 1.72,2.21,2.43,2.95,2.47
40, Long-Term Debt/Equity Capital, 11.35, 10.65, 10.76, 12.70, 13.81
41, Equity Investment in Subs/Equity Cap, 102.50,102.60,102.66,104.36,106.52
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 151.69,140.96,149.64,169.33,160.13
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,09/30/2015,09/30/2014,12/31/2014,12/31/2013,12/31/2012
46, Interest Income (TE), 3.25,3.37,3.35,3.41,3.59
47, Less: Interest Expense, 0.40,0.44,0.44,0.53,0.65
48, Equals: Net Interest Income (TE), 2.82,2.89,2.88,2.84,2.90
49, Plus: Non-Interest Income,1.46,1.52,1.51,1.74,1.88
50, Equals: Adj Operating Income (TE),4.37,4.53,4.51,4.73,4.89
51, Less: Overhead Expense, 2.82,2.94,2.93,3.15,3.34
52, Less: Provision for Loan and Lease Losses,0.14,0.14,0.14,0.19,0.33
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.02,0.01,0.02,0.02,0.04
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.38,1.43,1.42,1.40,1.28
57,Less: Applicable Income Taxes (TE), 0.45,0.49,0.47,0.44,0.42
58, Less: Minority Interest,0.00,0.00,0.00,0.00,0.01
59, Equals: Net Operating Income, 0.94,0.95,0.96,0.94,0.88
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.94,0.95,0.96,0.94,0.87
62, Memo: Net Income (Last Four Qtrs),0.96,0.94,0.96,0.94,0.86
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 91.47, 91.09, 91.14, 90.56, 89.86
65, Avg Int-Bearing Funds / Avg Assets,66.91, 67.05, 67.00, 68.40, 68.67
66, Int Income (TE) / Avg Earning Assets, 3.57,3.73,3.71,3.82,4.08
67, Int Expense / Avg Earning Assets, 0.44,0.49,0.49,0.60,0.74
68, Net Int Inc (TE) / Avg Earn Assets, 3.10,3.20,3.18,3.17,3.28
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),4.29,4.53,4.50,4.72,5.06
71, Interest-Bearing Bank Balances, 0.27,0.28,0.28,0.32,0.31
72, Fed Funds Sold & Reverse Repos, 0.48,0.43,0.43,0.39,0.40
73, Trading Assets, 0.91,1.11,1.04,1.19,1.25
74, Total Earning Assets, 3.51,3.67,3.65,3.77,4.03
75,Investment Securities (TE), 2.32,2.42,2.41,2.39,2.65
76, U.S. Treasury & Agency Sec (excl MBS),1.46,1.29,1.29,1.23,1.49
77, Mortgage-Backed Securities, 2.22,2.33,2.33,2.32,2.70
