,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
1,Number of BHCs in Peer Group, 77,71,66,68,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.77,2.88,3.00,3.09,3.08
4,+ Non-interest Income,1.98,1.60,1.64,1.91,2.03
5,- Overhead Expense, 3.29,3.29,2.96,2.97,3.07
6,- Provision for Losses, 1.84,1.17,0.36,0.15,0.15
7,+ Securities Gains (Losses),0.01, -0.12, -0.02, -0.01,0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE), -0.33, -0.14,1.31,1.83,1.93
10,Net Operating Income,-0.32, -0.23,0.86,1.18,1.24
11,Net Income,-0.30, -0.25,0.87,1.21,1.25
12,Interest Expense, 1.49,2.41,3.44,3.16,2.21
13,Net Interest Income (TE), 3.08,3.23,3.34,3.42,3.45
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,2.28,1.10,0.38,0.23,0.28
16,Earnings Coverage of Net Losses (X),1.86,2.64, 13.40, 33.33, 22.73
17,Ln&Ls Allowance/Total Loans & Leases, 2.72,1.82,1.22,1.11,1.13
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,4.35,2.42,1.08,0.57,0.48
19,30-89 Days Past Due Loans and Leases, 1.47,1.58,1.03,0.81,0.69
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,32.63, 37.52, 41.09, 37.63, 37.84
22,Net ST Noncore Funding Dependence,9.76, 22.45, 26.17, 23.42, 23.55
23,Net Loans and Leases/Total Assets, 56.54, 61.91, 63.85, 62.66, 60.09
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,8.51,8.28,7.42,7.79,7.44
26,Equity Capital/Total Assets,9.74,9.24,9.31,9.22,8.88
27,Equity Capital+Minority Int/Total Assets,10.02,9.52,9.42,9.34,9.10
28,Net Loans&Ls/Equity Capital (X),5.97,6.96,7.17,6.97,6.97
29,Cash Dividends/Net Income, 60.25, 71.23, 50.49, 36.79, 39.81
30,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
31,Retained Earnings/Avg Equity Cap,-5.95, -7.64,3.67,8.58,8.40
32,PARENT COMPANY RATIOS:, , , , , 
33,Short-Term Debt/Equity Capital, 3.51,3.65,3.73,3.12,2.55
34,Long-Term Debt/Equity Capital, 18.26, 12.03, 11.89, 11.77, 12.45
35,Equity Investment in Subs/Equity Cap, 110.07,105.96,112.58,110.24,108.78
36,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,89.17, 95.72,138.88,134.43,147.51
37,PERCENT OF AVERAGE ASSETS,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
38,Interest Income (TE), 4.14,5.06,6.13,5.95,5.08
39,Less: Interest Expense, 1.35,2.16,3.08,2.85,1.98
40,Equals: Net Interest Income (TE), 2.77,2.88,3.00,3.09,3.08
41,Plus: Non-Interest Income,1.98,1.60,1.64,1.91,2.03
42,Equals: Adj Operating Income (TE),4.72,4.54,4.68,4.97,5.15
43,Less: Overhead Expense, 3.29,3.29,2.96,2.97,3.07
44,Less: Provision for Loan and Lease Losses,1.84,1.17,0.36,0.15,0.15
45,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
46,Plus: Realized G/L on AFS Sec,0.02, -0.10, -0.02, -0.01,0.01
47,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
48,Memo: Net Income (Last Four Qtrs), -0.30, -0.25,0.85,1.21,1.25
49,MARGIN ANALYSIS:, , , , , 
50,Avg Earning Assets / Avg Assets, 90.41, 89.66, 89.70, 90.22, 89.84
51,Avg Int-Bearing Funds / Avg Assets,74.42, 77.28, 76.48, 75.80, 74.48
52,Int Income (TE) / Avg Earning Assets, 4.60,5.66,6.82,6.60,5.66
53,Int Expense / Avg Earning Assets, 1.49,2.41,3.44,3.16,2.21
54,Interest-Bearing Bank Balances, 0.53,2.23,5.42,5.07,3.49
55,Fed Funds Sold & Reverse Repos, 0.48,2.40,5.19,5.08,3.24
56,Trading Assets, 1.48,2.64,3.45,2.87,2.44
57,Mortgage-Backed Securities, 4.51,4.84,4.89,4.71,4.31
58,Time Deposits < $100K,2.63,3.54,4.47,3.96,2.90
59,Other Domestic Deposits,0.74,1.47,2.50,2.26,1.41
60,All Interest-Bearing Funds, 1.82,2.84,4.04,3.77,2.65
61, , 12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
62,Avg Personnel Exp Per Employee ($000),86,77,75,74,73
63,Avg Assets per Employee ($000),"6,708"," 5,926"," 5,301"," 5,057"," 4,727"
64,ANALYSIS RATIOS, , , , , 
65,Personnel Expense,1.43,1.43,1.52,1.61,1.65
66,Net Occupancy Expense,0.37,0.38,0.39,0.40,0.42
67,Personnel Expense, 31.25, 32.11, 32.37, 32.03, 31.93
68,Net Occupancy Expense,8.15,8.68,8.55,8.03,8.01
69,Serv Charges on Deposit Accts - Domestic, 7.15,7.53,7.59,6.77,7.11
70,Trading Revenue,2.21,0.00,0.20,1.15,1.03
71,Investment Banking Fees & Commissions,3.63,3.28,3.28,3.04,3.71
72,Venture Capital Revenue, -0.06, -0.02,0.23,0.19,0.18
73,Net Servicing Fees, 1.62,0.77,0.82,0.68,1.12
