,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
1,Number of BHCs in Peer Group, 70,73,69,66,68EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.04,2.85,2.91,3.00,3.09
4,+ Non-interest Income,1.89,1.92,1.58,1.64,1.91
5,- Overhead Expense, 3.19,3.28,3.29,2.96,2.97
6,- Provision for Losses, 1.10,1.96,1.20,0.36,0.16
7,+ Securities Gains (Losses),0.06,0.02, -0.12, -0.02, -0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),0.77, -0.39, -0.16,1.31,1.83
10,Net Operating Income, 0.51, -0.40, -0.26,0.86,1.18
11,Net Income, 0.51, -0.38, -0.27,0.87,1.21
12,Interest Expense, 1.07,1.52,2.41,3.44,3.16
13,Net Interest Income (TE), 3.39,3.16,3.25,3.34,3.42
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,2.04,2.33,1.10,0.38,0.23
16,Earnings Coverage of Net Losses (X),2.54,1.67,2.24, 13.40, 33.32
17,Ln&Ls Allowance/Total Loans & Leases, 2.63,2.80,1.84,1.22,1.12
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,3.71,4.23,2.45,1.08,0.58
19,30-89 Days Past Due Loans and Leases, 1.20,1.51,1.58,1.03,0.81
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,25.39, 30.28, 37.21, 41.10, 37.67
22,Net ST Noncore Funding Dependence,5.84,9.90, 22.32, 26.17, 23.42
23,Net Loans and Leases/Total Assets, 57.50, 59.72, 63.39, 63.84, 62.65
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,9.05,8.69,8.43,7.40,7.78
26,Equity Capital/Total Assets, 10.66, 10.01,9.42,9.30,9.21
27,Equity Capital+Minority Int/Total Assets,10.81, 10.23,9.70,9.41,9.33
28,Net Loans&Ls/Equity Capital (X),5.41,6.29,7.08,7.18,6.98
29,Cash Dividends/Net Income, 35.73, 59.69, 74.27, 50.49, 37.23
30,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
31,Retained Earnings/Avg Equity Cap, 3.14, -7.11, -8.15,3.64,8.55
32,PARENT COMPANY RATIOS:, , , , , 
33,Short-Term Debt/Equity Capital, 2.77,3.30,3.22,3.73,3.12
34,Long-Term Debt/Equity Capital, 16.09, 15.74, 11.65, 11.89, 11.77
35,Equity Investment in Subs/Equity Cap, 108.40,108.81,105.00,112.58,110.24
36,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 114.46, 98.42, 96.96,138.88,134.43
37,PERCENT OF AVERAGE ASSETS,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
38,Interest Income (TE), 4.07,4.26,5.11,6.13,5.95
39,Less: Interest Expense, 0.96,1.38,2.16,3.08,2.85
40,Equals: Net Interest Income (TE), 3.04,2.85,2.91,3.00,3.09
41,Plus: Non-Interest Income,1.89,1.92,1.58,1.64,1.91
42,Equals: Adj Operating Income (TE),4.93,4.75,4.55,4.68,4.97
43,Less: Overhead Expense, 3.19,3.28,3.29,2.96,2.97
